sample,fastq_1,fastq_2,strandedness,seq_platform
Pcub_SC1982_3dpi,inputs/rnaseq/FastqFiles_Raw_Quesada_RNAseq_1982_MSU1_Cfim/1982_3dpi_S1_R1_001.fastq.gz,inputs/rnaseq/FastqFiles_Raw_Quesada_RNAseq_1982_MSU1_Cfim/1982_3dpi_S1_R2_001.fastq.gz,auto,ILLUMINA
Pcub_SC1982_4dpi,inputs/rnaseq/FastqFiles_Raw_Quesada_RNAseq_1982_MSU1_Cfim/1982_4dpi_S2_R1_001.fastq.gz,inputs/rnaseq/FastqFiles_Raw_Quesada_RNAseq_1982_MSU1_Cfim/1982_4dpi_S2_R2_001.fastq.gz,auto,ILLUMINA
Pcub_SC1982_5dpi,inputs/rnaseq/FastqFiles_Raw_Quesada_RNAseq_1982_MSU1_Cfim/1982_5dpi_S3_R1_001.fastq.gz,inputs/rnaseq/FastqFiles_Raw_Quesada_RNAseq_1982_MSU1_Cfim/1982_5dpi_S3_R2_001.fastq.gz,auto,ILLUMINA
Pcub_SC1982_6dpi,inputs/rnaseq/FastqFiles_Raw_Quesada_RNAseq_1982_MSU1_Cfim/1982_6dpi_S4_R1_001.fastq.gz,inputs/rnaseq/FastqFiles_Raw_Quesada_RNAseq_1982_MSU1_Cfim/1982_6dpi_S4_R2_001.fastq.gz,auto,ILLUMINA
