sample,fastq_1,fastq_2,strandedness,seq_platform
Phum_OR502AA_2dpi,inputs/rnaseq/FastqFiles_Raw_Quesada_RNAseq_Phum_Rsto/Phum_hop_2dpi_S2_R1_001.fastq.gz,inputs/rnaseq/FastqFiles_Raw_Quesada_RNAseq_Phum_Rsto/Phum_hop_2dpi_S2_R2_001.fastq.gz,auto,ILLUMINA
Phum_OR502AA_3dpi,inputs/rnaseq/FastqFiles_Raw_Quesada_RNAseq_Phum_Rsto/Phum_hop_3dpi_S3_R1_001.fastq.gz,inputs/rnaseq/FastqFiles_Raw_Quesada_RNAseq_Phum_Rsto/Phum_hop_3dpi_S3_R2_001.fastq.gz,auto,ILLUMINA
Phum_OR502AA_4dpi,inputs/rnaseq/FastqFiles_Raw_Quesada_RNAseq_Phum_Rsto/Phum_hop_4dpi_S4_R1_001.fastq.gz,inputs/rnaseq/FastqFiles_Raw_Quesada_RNAseq_Phum_Rsto/Phum_hop_4dpi_S4_R2_001.fastq.gz,auto,ILLUMINA

