taxonomy_id	count
0	22162
1	0
131567	7748
2759	71
2698737	0
33634	0
4762	0
4776	0
4777	47
143452	911
143453	2085749
162120	758970
4783	1
67593	32
4792	0
761204	30
4784	25
129364	18
164328	1
70742	0
542832	22
86335	13
4778	0
4779	23
4780	0
4781	12
33154	22
4751	3
451864	126
4890	2
716545	13
147538	0
716546	420
715989	3
147550	1869
222543	1441
5125	1472
110618	0
5506	784
232080	3000
195108	3495
1328300	3434
569360	891
36050	2152
5518	0
229533	769
101028	0
1028729	440
171631	0
5507	462
660027	168
59765	0
426428	148
171627	9
5127	0
1279085	503
117187	0
334819	136
1042133	186
474942	108
98402	0
98403	5105
1052105	0
2060973	5053
5129	0
5543	206
2034170	1281
63577	1103
101201	947
474943	0
150366	0
2231603	3360
34397	130
124426	0
1159556	1280
5529	0
500148	1123
243023	0
280754	0
1380566	728
1028384	0
681950	0
5455	600
2707350	5143
80884	0
759273	12721
34406	7940
2707335	0
145971	9354
222544	157
5139	285
35718	75
2609811	0
2587410	0
578455	2965
1920207	0
78579	0
573729	2497
110158	0
72143	0
72144	4087
5148	182
5146	0
5147	1133
5140	0
5141	0
367110	551
2609812	0
5144	969
2093780	126
2093777	88
2093779	76
2609844	1
639021	0
2528436	0
48558	289
1578925	1225
318829	0
242507	949
148305	764
147548	0
5178	0
28983	0
33196	0
40559	0
332648	57
715962	0
147541	5
451868	0
92860	0
715340	16
28556	2
5598	16
2499262	0
48095	175
2499237	0
187734	0
5599	62
5027	0
45151	119
683158	0
5453	0
5454	182
451867	0
2726947	0
93133	0
2897311	0
5499	123
1047167	0
1047171	0
336722	114
29002	0
122368	107
147545	0
451871	2
5042	1
1131492	2
5052	32
2720871	36
1069201	81
5062	0
510516	16
2720870	0
162425	0
227321	125
2720872	0
746128	0
330879	122
1220207	76
2720874	0
182096	41
5073	0
36651	30
69781	15
28568	0
5094	0
2752542	0
121627	63
2752537	0
37727	25
33183	0
33184	0
5500	0
199306	0
443226	5
147537	5
3239874	0
3243775	0
1156497	0
460517	0
460519	0
644223	100
4919	0
4909	5
13366	0
13502	2
2916678	0
766764	0
1535325	0
5475	0
42374	0
573826	9
273371	0
1136231	8
36913	0
36914	6
27319	0
3303203	0
498019	5
3300567	0
291208	2
4891	0
4892	0
4893	1
374468	0
5478	34
113604	0
113608	0
1071381	32
4910	0
28985	25
1196389	0
42260	6
4930	0
27291	2
114524	0
226230	1
33170	1
45285	0
931890	2
3163251	0
588726	0
1071383	3
3163253	0
1071379	0
1071380	3
71245	0
432096	0
1071382	1
278028	0
27289	0
1071378	1
3239873	0
3243772	0
410830	0
410829	0
796027	12
3316682	0
4951	0
4952	1
5204	14
5302	0
155616	1
1851469	0
1759442	2
1851468	0
143232	99
1838142	0
279322	41
5234	0
1884633	0
490731	2
1268659	15
1651941	13
564305	5
4975	0
1295534	2
453459	0
1296096	1
5206	0
1884637	2
1859096	0
294750	4
1897064	0
5207	0
40410	2
283643	1
178876	0
235443	3
155619	0
355688	0
