taxon	seq_abundance
4787	0.635926810223738
162120	0.231403381305953
358	0.041740234406561
2901869	0.0144390441412537
40324	0.0046038592536199
743720	0.00416877930958575
399736	0.00406023799208319
759273	0.00387852275266879
558537	0.00373400425689291
2977320	0.00361753576451656
160825	0.00357668032478245
180282	0.00345929715838221
976	0.00337819606159659
1300224	0.00326325202592674
1300225	0.00326203246056154
868597	0.00320776180181026
59733	0.00315013733830469
2	0.0030553161311606
145971	0.00285195360651394
471854	0.00281079327543853
34406	0.00242083724991669
131567	0.00236229811238722
2910158	0.0023244915860661
3088362	0.00213241004104752
13690	0.00206594372864427
2861765	0.00197020784747628
303	0.00189855838227093
3379134	0.00178666326001408
3243033	0.0017766018457512
3659	0.00167415835507463
