qseqid	sseqid	pident	length	qlen	slen	evalue	bitscore	qcovhsp	staxids	sphylums	sgenus	sspecies	stitle
Pcub-MSU1_004_001132.1	KAE8883351.1	65.1	487	491	489	1.30e-116	356	98.0	53985	Oomycota	Phytophthora	Phytophthora fragariae	KAE8883351.1 hypothetical protein PF003_g32514 [Phytophthora fragariae]
Pcub-MSU1_004_000028.1	KAK1944615.1	46.1	141	533	953	9.46e-21	101	18.0	4793	Oomycota	Phytophthora	Phytophthora citrophthora	KAK1944615.1 Cilia- and flagella-associated protein 52 [Phytophthora citrophthora]
Pcub-MSU1_004_000028.1	XP_009538857.1	45.0	140	533	657	2.13e-20	100	18.0	67593	Oomycota	Phytophthora	Phytophthora sojae	XP_009538857.1 hypothetical protein PHYSODRAFT_532549 [Phytophthora sojae]
Pcub-MSU1_004_000028.1	KAE9357244.1	44.3	140	533	657	6.65e-20	98.6	18.0	129364	Oomycota	Phytophthora	Phytophthora rubi	KAE9357244.1 hypothetical protein PR003_g1893 [Phytophthora rubi]
Pcub-MSU1_004_000028.1	KAE9362448.1	44.3	140	533	657	6.65e-20	98.6	18.0	53985	Oomycota	Phytophthora	Phytophthora fragariae	KAE9362448.1 hypothetical protein PF008_g60 [Phytophthora fragariae]
Pcub-MSU1_004_000028.1	KAE8950374.1	44.3	140	533	657	6.65e-20	98.6	18.0	53985	Oomycota	Phytophthora	Phytophthora fragariae	KAE8950374.1 hypothetical protein PF009_g74 [Phytophthora fragariae]
Pcub-MSU1_004_000028.1	KAG2791016.1	42.9	140	533	656	8.82e-20	98.2	18.0	29920	Oomycota	Phytophthora	Phytophthora cactorum	KAG2791016.1 hypothetical protein Pcac1_g143 [Phytophthora cactorum]
Pcub-MSU1_004_000028.1	KAG1693698.1	42.9	140	533	657	8.84e-20	98.2	18.0	4784	Oomycota	Phytophthora	Phytophthora capsici	KAG1693698.1 hypothetical protein DVH05_023099 [Phytophthora capsici]
Pcub-MSU1_004_000028.1	KAE8883446.1	44.3	140	533	949	9.13e-20	98.6	18.0	53985	Oomycota	Phytophthora	Phytophthora fragariae	KAE8883446.1 hypothetical protein PF003_g32521 [Phytophthora fragariae]
Pcub-MSU1_004_000028.1	KAE9046264.1	44.3	140	533	956	9.17e-20	98.6	18.0	129364	Oomycota	Phytophthora	Phytophthora rubi	KAE9046264.1 hypothetical protein PR002_g1755 [Phytophthora rubi]
Pcub-MSU1_004_000028.1	KAE9140849.1	44.3	140	533	956	9.17e-20	98.6	18.0	53985	Oomycota	Phytophthora	Phytophthora fragariae	KAE9140849.1 hypothetical protein PF010_g58 [Phytophthora fragariae]
Pcub-MSU1_004_000028.1	KAG3120702.1	44.2	138	533	654	1.17e-19	97.8	18.0	53986	Oomycota	Phytophthora	Phytophthora idaei	KAG3120702.1 hypothetical protein PI125_g915 [Phytophthora idaei]
Pcub-MSU1_004_000028.1	KAH7479814.1	45.4	130	533	647	1.53e-19	97.4	18.0	164328	Oomycota	Phytophthora	Phytophthora ramorum	KAH7479814.1 Cilia- and flagella-associated protein 52 [Phytophthora ramorum]
Pcub-MSU1_004_000028.1	GMF34158.1	42.9	140	533	837	2.61e-19	97.1	18.0	1490495	Oomycota	Phytophthora	Phytophthora fragariaefolia	GMF34158.1 unnamed protein product [Phytophthora fragariaefolia]
Pcub-MSU1_004_000028.1	XP_002905542.1	45.7	140	533	657	1.14e-18	94.7	18.0	4787;403677	Oomycota	Phytophthora	Phytophthora infestans	XP_002905542.1 cleavage induced conserved hypothetical protein [Phytophthora infestans T30-4]
Pcub-MSU1_004_000028.1	KAF1793231.1	41.4	140	533	2107	1.16e-18	95.5	18.0	29920	Oomycota	Phytophthora	Phytophthora cactorum	KAF1793231.1 WD40 repeat, conserved site [Phytophthora cactorum]
Pcub-MSU1_004_000028.1	GMF12022.1	40.7	140	533	656	3.55e-18	93.2	18.0	2077276	Oomycota	Phytophthora	Phytophthora lilii	GMF12022.1 unnamed protein product [Phytophthora lilii]
Pcub-MSU1_004_000028.1	KAF1788334.1	72.1	61	533	500	7.20e-18	91.7	11.3	29920	Oomycota	Phytophthora	Phytophthora cactorum	KAF1788334.1 G-protein beta WD-40 repeat [Phytophthora cactorum]
