id	source	Description	rnaseq_gene_count_Pcub_MSU1_3dpi	rnaseq_gene_count_Pcub_MSU1_4dpi	rnaseq_gene_count_Pcub_MSU1_5dpi	rnaseq_gene_count_Pcub_MSU1_6dpi
Pcub-MSU1_001_000016.1	eggnog	domain-containing protein	2085	2023	4233	6359
Pcub-MSU1_001_000952.1	eggnog	Ankyrin repeats (many copies)	69	118	179	274
Pcub-MSU1_001_000017.1	eggnog	Ankyrin repeats (many copies)	7	6	12	44
Pcub-MSU1_001_000018.1	eggnog	Elicitin	244	1040	1410	1196
Pcub-MSU1_001_000019.1	unannotated	Hypothetical protein of unknown function	0	0	0	3
Pcub-MSU1_001_000951.1	eggnog	TKL protein kinase	0	0	2.473	0
Pcub-MSU1_001_000950.1	eggnog	TKL protein kinase	12.353	7	7.458	28.996
Pcub-MSU1_001_000949.1	eggnog	TKL protein kinase	38.647	36	41.069	46.004
Pcub-MSU1_001_000948.1	eggnog	TKL protein kinase	21	26	45	106
Pcub-MSU1_001_000020.1	eggnog	assists the folding of proteins upon ATP hydrolysis	304	281	716	1083
Pcub-MSU1_001_000947.1	unannotated	Hypothetical protein of unknown function	0	0	0	0
Pcub-MSU1_001_000946.1	eggnog	domain-containing protein	23	51	90	134
Pcub-MSU1_001_000021.1	eggnog	Crinkler (CRN) family protein	0	0	0	0
Pcub-MSU1_001_000022.1	eggnog	Radial spoke protein 3	18	9	18	32
Pcub-MSU1_001_000023.1	eggnog	cell redox homeostasis	278	692	645	1107
Pcub-MSU1_001_000024.1	eggnog	Thioredoxin (txl1)	3	0	7	7
Pcub-MSU1_001_000945.1	unannotated	Hypothetical protein of unknown function	0	0	0	0
Pcub-MSU1_001_000944.1	blastp	Homology to Peronospora destructor predicted protein CAI5742686.1	0	0	0	0
Pcub-MSU1_001_000025.1	blastp	Homology to Peronospora farinosa predicted protein CAH0485122.1	7	5	42	41
Pcub-MSU1_001_000026.1	blastp	Homology to Peronospora effusa predicted protein CAI5705814.1	16	9	14	21
Pcub-MSU1_001_000027.1	eggnog	OST3 / OST6 family, transporter family	15	38	57	79
Pcub-MSU1_001_000943.1	eggnog	domain-containing protein	242	440	694	702
Pcub-MSU1_001_000942.1	eggnog	domain-containing protein	391	414	749	1206
Pcub-MSU1_001_000941.1	eggnog	Leucine Rich repeat	29	57	97	131
Pcub-MSU1_001_000028.1	eggnog	CLASP N terminal	19	24	59	62
Pcub-MSU1_001_000940.1	eggnog	ankyrin repeats	20	7	41	83
Pcub-MSU1_001_000029.1	eggnog	Ribosomal S3Ae family	3535	6134	8151	10094
Pcub-MSU1_001_000030.1	blastp	Homology to Hyaloperonospora brassicae predicted protein CAI5708667.1	11	20	68	45
Pcub-MSU1_001_000939.1	blastp	Homology to Peronospora effusa predicted protein RMX70247.1	0	0	1	0
Pcub-MSU1_001_000031.1	blastp	Homology to Peronospora destructor predicted protein CAI5745832.1	40	60	114	128
Pcub-MSU1_001_000938.1	eggnog	heat shock factor	71	153	43	69
Pcub-MSU1_001_000937.1	blastp	Homology to Peronospora farinosa predicted protein CAH0485138.1	55	33	39	130
Pcub-MSU1_001_000936.1	eggnog	PAP2 superfamily C-terminal	55	73	99	116
Pcub-MSU1_001_000032.1	eggnog	domain-containing protein	27	26	38	37
Pcub-MSU1_001_000033.1	eggnog	Ion transport protein	2	3	14	16
Pcub-MSU1_001_000935.1	interproscan	PTHR33946 domain-containing protein	692	1876	2234	2585
Pcub-MSU1_001_000934.1	unannotated	Hypothetical protein of unknown function	0	0	0	0
Pcub-MSU1_001_000034.1	unannotated	Hypothetical protein of unknown function	0	0	0	0
Pcub-MSU1_001_000933.1	eggnog	Sorting nexin C terminal	31	51	108	154
Pcub-MSU1_001_000035.1	blastp	Homology to Peronospora effusa predicted protein RMX70259.1	9	27	63	76
Pcub-MSU1_001_000036.1	interproscan	PTHR11229 domain-containing protein	76	115	296	293
Pcub-MSU1_001_000037.1	blastp	Homology to Peronospora destructor predicted protein CAI5720995.1	3	4	10	5
Pcub-MSU1_001_000038.1	eggnog	Fumble	35	48	96	110
Pcub-MSU1_001_000039.1	eggnog	HAD-hyrolase-like	54	116	186	129
Pcub-MSU1_001_000932.1	eggnog	domain-containing protein	28	34	103	91
Pcub-MSU1_001_000931.1	eggnog	Protein phosphatase 2A regulatory B subunit (B56 family)	105	67	216	382
Pcub-MSU1_001_000040.1	blastp	Homology to Phytophthora pseudosyringae predicted protein KAG7391653.1	13	28	26	28
Pcub-MSU1_001_000930.1	eggnog	Sugar (and other) transporter	11	18	34	118
Pcub-MSU1_001_000041.1	eggnog	RNA cap guanine-N2 methyltransferase	17	27	70	55
Pcub-MSU1_001_000929.1	eggnog	Nuclear pore complex protein	85	78	245	418
Pcub-MSU1_001_000042.1	eggnog	domain-containing protein	0	0	8	19
Pcub-MSU1_001_000043.1	unannotated	Hypothetical protein of unknown function	2	0	4.329	0
Pcub-MSU1_001_000928.1	unannotated	Hypothetical protein of unknown function	0	0	0	0
Pcub-MSU1_001_000927.1	eggnog	domain-containing protein	1.4	0	0	0
Pcub-MSU1_001_000926.1	eggnog	domain-containing protein	9.6	1	1.218	10.364
Pcub-MSU1_001_000925.1	eggnog	peptidyl-threonine phosphorylation	5	12	15.453	11.636
Pcub-MSU1_001_000924.1	eggnog	peptidyl-threonine phosphorylation	0	0	0	0
Pcub-MSU1_001_000923.1	eggnog	Nucleosome assembly protein (NAP)	138	276	664	881
Pcub-MSU1_001_000044.1	eggnog	calcium ion binding	19	21	36	90
Pcub-MSU1_001_000922.1	blastp	Homology to Peronospora effusa predicted protein UIZ23644.1	36	19	32	61
Pcub-MSU1_001_000045.1	eggnog	eukaryotic translation initiation factor 2alpha kinase activity	111	115	224	410
Pcub-MSU1_001_000046.1	eggnog	Phosphate transport (Pho88)	0	0	0	2
Pcub-MSU1_001_000047.1	eggnog	Phosphate transport (Pho88)	230	260	614	722
Pcub-MSU1_001_000048.1	blastp	Homology to Phytophthora cactorum predicted protein KAG6956016.1	0	0	2	0
Pcub-MSU1_001_000049.1	unannotated	Hypothetical protein of unknown function	3	0	2	3
Pcub-MSU1_001_000921.1	eggnog	domain-containing protein	89	82	161	286
Pcub-MSU1_001_000050.1	eggnog	domain-containing protein	91	119	318	446
