id	source	Description	rnaseq_gene_count_Pcub_MSU1_3dpi	rnaseq_gene_count_Pcub_MSU1_4dpi	rnaseq_gene_count_Pcub_MSU1_5dpi	rnaseq_gene_count_Pcub_MSU1_6dpi
Pcub-MSU1_003_000789.1	eggnog	Major Facilitator Superfamily	40	33	47	88
Pcub-MSU1_003_000788.1	eggnog	motor activity	30	10	44	71
Pcub-MSU1_003_000787.1	eggnog	motor activity	3	6	3	10
Pcub-MSU1_003_000112.1	unannotated	Hypothetical protein of unknown function	0	0	1	2
Pcub-MSU1_003_000113.1	unannotated	Hypothetical protein of unknown function	0	0	0	0
Pcub-MSU1_003_000114.1	unannotated	Hypothetical protein of unknown function	0	2	0	7
Pcub-MSU1_003_000115.1	eggnog	Homeodomain	109	58	209	319
Pcub-MSU1_003_000786.1	eggnog	domain-containing protein	6	13	12	17
Pcub-MSU1_003_000116.1	eggnog	Protein tyrosine kinase	3	0	3	14
Pcub-MSU1_003_000117.1	eggnog	protein kinase activity (STK16)	12	12	23	22
Pcub-MSU1_003_000785.1	eggnog	domain-containing protein	43	105	164	246
Pcub-MSU1_003_000118.1	blastp	Homology to Phytophthora sojae predicted protein XP_009525870.1	83	107	216	318
Pcub-MSU1_003_000119.1	eggnog	domain-containing protein	424	370	752	1222
Pcub-MSU1_003_000784.1	eggnog	SSXT protein (N-terminal region)	6	12	8	21
Pcub-MSU1_003_000783.1	unannotated	Hypothetical protein of unknown function	0	0	2	1
Pcub-MSU1_003_000120.1	eggnog	function. Source PGD	34	10	44	69
Pcub-MSU1_003_000782.1	unannotated	Hypothetical protein of unknown function	20	43	52	73
Pcub-MSU1_003_000121.1	eggnog	domain-containing protein	15	34	47	88
Pcub-MSU1_003_000781.1	eggnog	DHHC palmitoyltransferase	0	0	0	1
Pcub-MSU1_003_000122.1	unannotated	Hypothetical protein of unknown function	81	44	36	164
Pcub-MSU1_003_000780.1	blastp	Homology to Phytophthora cactorum predicted protein KAG2788288.1	0	1	1	1
Pcub-MSU1_003_000779.1	unannotated	Hypothetical protein of unknown function	2	11	11	7
Pcub-MSU1_003_000123.1	eggnog	basic region leucin zipper	180.433	987.785	952.843	1395.788
Pcub-MSU1_003_000778.1	eggnog	Cation efflux family	18	38	57	75
Pcub-MSU1_003_000777.1	eggnog	peptidyl-prolyl cis-trans isomerase activity	89.567	340.215	465.157	747.212
Pcub-MSU1_003_000776.1	blastp	Homology to Peronospora belbahrii predicted protein CAH0479263.1	19	3	11	30
Pcub-MSU1_003_000775.1	eggnog	domain-containing protein	7	26	29	48
Pcub-MSU1_003_000774.1	eggnog	Subunit of the integral membrane V0 complex of vacuolar ATPase	180	176	332	493
Pcub-MSU1_003_000124.1	eggnog	Leucyl-tRNA synthetase, Domain 2	28	33	102	171
Pcub-MSU1_003_000773.1	blastp	Homology to Phytophthora nicotianae predicted protein ETM45714.1	72	106	167	282
Pcub-MSU1_003_000125.1	unannotated	Hypothetical protein of unknown function	0	0	0	0
Pcub-MSU1_003_000126.1	blastp	Homology to Phytophthora fragariae predicted protein KAE9158744.1	0	0	0	0
Pcub-MSU1_003_000127.1	unannotated	Hypothetical protein of unknown function	0	0	0	0
Pcub-MSU1_003_000128.1	blastp	Homology to Phytophthora fragariae predicted protein KAE9158744.1	0	0	0	0
Pcub-MSU1_003_000129.1	blastp	Homology to Phytophthora fragariae predicted protein KAE9158744.1	0	0	0	0
Pcub-MSU1_003_000130.1	blastp	Homology to Phytophthora citrophthora predicted protein KAK1945440.1	0	0	0	0
Pcub-MSU1_003_000131.1	blastp	Homology to Phytophthora citrophthora predicted protein KAK1945440.1	0	0	0	0
Pcub-MSU1_003_000132.1	unannotated	Hypothetical protein of unknown function	0	0	0	0
Pcub-MSU1_003_000133.1	unannotated	Hypothetical protein of unknown function	0	0	0	0
Pcub-MSU1_003_000134.1	unannotated	Hypothetical protein of unknown function	0	0	0	0
Pcub-MSU1_003_000135.1	eggnog	GPCR-chaperone	0	1	2	0
Pcub-MSU1_003_000136.1	eggnog	Belongs to the glycosyl hydrolase 1 family	524.614	198.677	197.846	688.743
Pcub-MSU1_003_000137.1	eggnog	Kinase-like	34	18	40	144
Pcub-MSU1_003_000138.1	eggnog	WD domain, G-beta repeat	50	67	146	213
Pcub-MSU1_003_000772.1	eggnog	Belongs to the glycosyl hydrolase 1 family	764.386	879.323	708.154	1193.257
Pcub-MSU1_003_000771.1	eggnog	GPCR-chaperone	0	0	0	0
Pcub-MSU1_003_000770.1	blastp	Homology to Phytophthora rubi predicted protein KAE9349211.1	4	13	15	23
Pcub-MSU1_003_000139.1	eggnog	Putative DNA-binding (bihelical) motif predicted to be involved in chromosomal organisation	79	117	156	169
Pcub-MSU1_003_000140.1	eggnog	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily	295	319	700	1029
Pcub-MSU1_003_000769.1	eggnog	PhoX homologous domain, present in p47phox and p40phox	54	79	94	163
Pcub-MSU1_003_000141.1	eggnog	Required for nuclear transport of RNA pol II C-terminus 1	52	51	153	160
Pcub-MSU1_003_000768.1	eggnog	Mitochondrial branched-chain alpha-ketoacid dehydrogenase kinase	22	33	76	100
Pcub-MSU1_003_000767.1	eggnog	Aldo/keto reductase family	92	118	162	231
Pcub-MSU1_003_000766.1	eggnog	Protein of unknown function (DUF3712)	42	42	55	84
Pcub-MSU1_003_000142.1	eggnog	MOZ/SAS family	7	9	12	14
Pcub-MSU1_003_000143.1	eggnog	Crinkler (CRN) family protein	0	0	0	0
Pcub-MSU1_003_000144.1	eggnog	domain-containing protein	17	18	38	49
Pcub-MSU1_003_000765.1	eggnog	ubiquitinyl hydrolase activity	236	253	353	696
Pcub-MSU1_003_000145.1	eggnog	Leucine-rich repeat	17	1	29	46
Pcub-MSU1_003_000764.1	eggnog	Type I phosphodiesterase / nucleotide pyrophosphatase	31	8	41	43
Pcub-MSU1_003_000763.1	eggnog	Mib_herc2	416	363	550	1219
Pcub-MSU1_003_000146.1	blastp	Homology to Phytophthora nicotianae predicted protein XP_008906518.1	3	0	2	3
Pcub-MSU1_003_000762.1	eggnog	EF hand	0	0	2	3
Pcub-MSU1_003_000761.1	eggnog	EF hand	0	0	0	0
Pcub-MSU1_003_000760.1	eggnog	domain-containing protein	5	0	3	12.721
Pcub-MSU1_003_000759.1	eggnog	Serine carboxypeptidase	189.68	218.907	269.865	451.664
Pcub-MSU1_003_000147.1	eggnog	Serine carboxypeptidase	423.32	320.093	577.135	1005.336
Pcub-MSU1_003_000148.1	eggnog	Domain with 2 conserved Trp (W) residues	13	22	14	49.279
Pcub-MSU1_003_000758.1	blastp	Homology to Phytophthora cactorum predicted protein KAG2954232.1	1	7	0	5
Pcub-MSU1_003_000149.1	blastp	Homology to Phytophthora aleatoria predicted protein KAG6963025.1	0	2	12	11
Pcub-MSU1_003_000757.1	eggnog	domain-containing protein	1	6	10	11
Pcub-MSU1_003_000150.1	eggnog	Las17-binding protein actin regulator	6	6	19	7
Pcub-MSU1_003_000756.1	blastp	Homology to Phytophthora pseudosyringae predicted protein KAG7389539.1	5	0	4	2
Pcub-MSU1_003_000151.1	blastp	Homology to Phytophthora pseudosyringae predicted protein KAG7389540.1	0	0	3	4
Pcub-MSU1_003_000755.1	eggnog	Belongs to the peroxisomal membrane protein PXMP2 4 family	30	32	29	47
Pcub-MSU1_003_000152.1	eggnog	Component of the Mediator complex, a coactivator involved in the regulated transcription of nearly all RNA polymerase II-dependent genes	35	28	49	78
Pcub-MSU1_003_000754.1	eggnog	Las17-binding protein actin regulator	65	78	102	175
Pcub-MSU1_003_000753.1	unannotated	Hypothetical protein of unknown function	3	24	8	29
Pcub-MSU1_003_000153.1	eggnog	ER lumen protein retaining receptor	173	381	438	807
Pcub-MSU1_003_000752.1	eggnog	Protein present in Fab1, YOTB, Vac1, and EEA1	6	28	20	49
Pcub-MSU1_003_000751.1	blastp	Homology to Peronospora destructor predicted protein CAI5744395.1	11.944	9.703	33.838	85.023
Pcub-MSU1_003_000154.1	blastp	Homology to Phytophthora cinnamomi predicted protein KAG6614516.1	22.056	37.297	66.162	87.977
Pcub-MSU1_003_000155.1	eggnog	domain-containing protein	47	42	28	93
Pcub-MSU1_003_000156.1	eggnog	Hermansky-Pudlak syndrome 3	26	21	33	66
Pcub-MSU1_003_000750.1	eggnog	Uncharacterized conserved protein (DUF2039)	10	10	33	65
Pcub-MSU1_003_000157.1	eggnog	domain-containing protein	4	8	18	17
Pcub-MSU1_003_000749.1	eggnog	Tricarboxylate carrier	15	22	16	34
Pcub-MSU1_003_000748.1	eggnog	GNS1/SUR4 family	91	165	208	369
Pcub-MSU1_003_000158.1	eggnog	motile cilium assembly	5	1	16	13
Pcub-MSU1_003_000747.1	unannotated	Hypothetical protein of unknown function	3	0	3	7
Pcub-MSU1_003_000746.1	interproscan	PTHR15146 domain-containing protein	11	2	7	14
Pcub-MSU1_003_000745.1	blastp	Homology to Phytophthora sojae predicted protein XP_009526014.1	7	0	11	16
Pcub-MSU1_003_000159.1	eggnog	domain-containing protein	250	386	742	1084
Pcub-MSU1_003_000744.1	eggnog	Tetratricopeptide repeat	44	21	35	91
Pcub-MSU1_003_000160.1	eggnog	domain-containing protein	28	31	37	82
Pcub-MSU1_003_000743.1	eggnog	PPR repeat	15	21	39	83
Pcub-MSU1_003_000161.1	eggnog	actin filament binding	54	43	121	146
Pcub-MSU1_003_000742.1	blastp	Homology to Peronospora destructor predicted protein CAI5712688.1	50	52	101	182
Pcub-MSU1_003_000162.1	eggnog	domain-containing protein	4	22	103	178
Pcub-MSU1_003_000741.1	blastp	Homology to Peronospora destructor predicted protein CAI5719930.1	17	48	52	38
Pcub-MSU1_003_000163.1	eggnog	alpha/beta hydrolase fold	157	244	514	479
Pcub-MSU1_003_000740.1	eggnog	Glycosyl hydrolase family 1	215	238	320	621
Pcub-MSU1_003_000739.1	eggnog	domain-containing protein	33	82	71	82
Pcub-MSU1_003_000164.1	eggnog	domain-containing protein	315	398	570	929
Pcub-MSU1_003_000165.1	eggnog	Glycosyl hydrolase family 1	559	568	599	946
Pcub-MSU1_003_000738.1	eggnog	Glycosyl hydrolase family 1	62	86	79	241
Pcub-MSU1_003_000166.1	eggnog	The proteasome is a multicatalytic proteinase complex which is characterized by its ability to cleave peptides with Arg, Phe, Tyr, Leu, and Glu adjacent to the leaving group at neutral or slightly basic pH	533	543	995	1443
Pcub-MSU1_003_000737.1	eggnog	DUF1771	72	156	202	283
Pcub-MSU1_003_000736.1	eggnog	C2H2-type zinc finger	0	18	21	10
Pcub-MSU1_003_000735.1	eggnog	Succinate dehydrogenase/Fumarate reductase transmembrane subunit	152	357	399	496
Pcub-MSU1_003_000167.1	eggnog	domain-containing protein	3	4	38	33
Pcub-MSU1_003_000168.1	eggnog	domain-containing protein	0	0	0	6
Pcub-MSU1_003_000734.1	interproscan	PTHR21694 domain-containing protein	0	0	1	4
Pcub-MSU1_003_000169.1	blastp	Homology to Phytophthora pseudosyringae predicted protein KAG7376859.1	0	0	0	0
Pcub-MSU1_003_000733.1	blastp	Homology to Peronospora belbahrii predicted protein CAH0482730.1	8	16	41	41
Pcub-MSU1_003_000170.1	eggnog	domain-containing protein	80	140	210	283
Pcub-MSU1_003_000171.1	blastp	Homology to Peronospora effusa predicted protein CAI5701796.1	14	20	48	62
Pcub-MSU1_003_000732.1	eggnog	axoneme assembly	1	0	0	1
Pcub-MSU1_003_000172.1	blastp	Homology to Phytophthora aleatoria predicted protein KAG6975642.1	0	0	2	2
Pcub-MSU1_003_000731.1	eggnog	domain-containing protein	14	7	15	44
Pcub-MSU1_003_000173.1	eggnog	Broad-Complex, Tramtrack and Bric a brac	25	16	28	89
Pcub-MSU1_003_000174.1	eggnog	Acetokinase family	0	0	0	0
Pcub-MSU1_003_000175.1	unannotated	Hypothetical protein of unknown function	3	12	17	27
Pcub-MSU1_003_000730.1	eggnog	EF-hand domain pair	37	35	40	72
Pcub-MSU1_003_000176.1	eggnog	ABC transporter	70	30	103	216
Pcub-MSU1_003_000729.1	eggnog	spectrin binding	4	6	1	26
Pcub-MSU1_003_000177.1	blastp	Homology to Phytophthora palmivora predicted protein POM77908.1	10	13	18	15
Pcub-MSU1_003_000728.1	eggnog	DHHC palmitoyltransferase	2	6	33	37
Pcub-MSU1_003_000178.1	eggnog	BT1 family	6	7	6	10
Pcub-MSU1_003_000179.1	eggnog	dihydroceramide kinase activity	71	88	237	268
Pcub-MSU1_003_000180.1	eggnog	domain-containing protein	143	120	335	556
Pcub-MSU1_003_000181.1	blastp	Homology to Phytophthora pseudosyringae predicted protein KAG7389112.1	0	2	44	38
Pcub-MSU1_003_000727.1	interproscan	G3DSA:3.90.190.10 domain-containing protein	0	0	2	2
Pcub-MSU1_003_000726.1	eggnog	domain-containing protein	25	29	95	136
Pcub-MSU1_003_000725.1	eggnog	domain-containing protein	2	3	13	25
Pcub-MSU1_003_000182.1	blastp	Homology to Peronospora destructor predicted protein CAI5713828.1	21	82	115	139
Pcub-MSU1_003_000724.1	blastp	Homology to Phytophthora palmivora predicted protein POM80708.1	3	2	1	13
Pcub-MSU1_003_000723.1	eggnog	LsmAD	392	561	845	1251
Pcub-MSU1_003_000183.1	eggnog	CRN domain-containing protein-containing protein	0	0	0	0
Pcub-MSU1_003_000184.1	eggnog	Cytidylyltransferase-like	19	17	16	30
Pcub-MSU1_003_000722.1	eggnog	domain-containing protein	32	39	98	95
Pcub-MSU1_003_000185.1	blastp	Homology to Peronospora destructor predicted protein CAI5741821.1	4	8	17	26
Pcub-MSU1_003_000721.1	eggnog	Ubiquitin-conjugating enzyme E2, catalytic domain homologues	216	361	415	528
Pcub-MSU1_003_000720.1	eggnog	Control of topological states of DNA by transient breakage and subsequent rejoining of DNA strands	9	9	61	54
Pcub-MSU1_003_000186.1	eggnog	DNA binding	24	11	52	91
Pcub-MSU1_003_000719.1	eggnog	Leucine Rich repeat	0	0	2	1
Pcub-MSU1_003_000187.1	eggnog	C2H2-type zinc finger	8	32	35	105
Pcub-MSU1_003_000718.1	unannotated	Hypothetical protein of unknown function	0	11	0	8
Pcub-MSU1_003_000188.1	unannotated	Hypothetical protein of unknown function	0	0	0	0
Pcub-MSU1_003_000717.1	blastp	Homology to Peronospora farinosa predicted protein CAH0489763.1	4	0	3	6
Pcub-MSU1_003_000716.1	eggnog	domain-containing protein	18	64	216	248
Pcub-MSU1_003_000189.1	eggnog	Leucine Rich repeat	0	0	0	3
Pcub-MSU1_003_000715.1	eggnog	domain-containing protein	18	4	16	16
Pcub-MSU1_003_000190.1	eggnog	Peroxisomal membrane protein (Pex16)	35	32	39	80
Pcub-MSU1_003_000714.1	eggnog	Belongs to the peptidase C19 family	24	49	84	109
Pcub-MSU1_003_000191.1	eggnog	domain-containing protein	10.906	14.912	9	30.968
Pcub-MSU1_003_000713.1	blastp	Homology to Phytophthora megakarya predicted protein OWZ23099.1	5	17.171	9.003	24.524
Pcub-MSU1_003_000712.1	blastp	Homology to Peronospora farinosa predicted protein CAH0484634.1	0	9.348	0	0
Pcub-MSU1_003_000192.1	blastp	Homology to Peronospora farinosa predicted protein CAH0484634.1	18	53.652	65	76
Pcub-MSU1_003_000193.1	blastp	Homology to Phytophthora megakarya predicted protein OWZ23099.1	0	20.829	20.997	17.476
Pcub-MSU1_003_000711.1	eggnog	domain-containing protein	1.094	1.088	0	12.032
Pcub-MSU1_003_000710.1	eggnog	ABC1 family	64	63	119	206
Pcub-MSU1_003_000194.1	eggnog	domain-containing protein	93	256	201	205
Pcub-MSU1_003_000709.1	eggnog	Myosin head (motor domain)	4	48	56	130
Pcub-MSU1_003_000708.1	eggnog	Myosin head (motor domain)	189	245	452	795
Pcub-MSU1_003_000707.1	eggnog	Phytotoxin PcF protein	3	11	12	11
Pcub-MSU1_003_000195.1	eggnog	Protein present in Fab1, YOTB, Vac1, and EEA1	27	57	85	150
Pcub-MSU1_003_000706.1	eggnog	phosphoprotein phosphatase activity	89	78	158	229
Pcub-MSU1_003_000196.1	eggnog	domain-containing protein	23	16	49	61
Pcub-MSU1_003_000197.1	unannotated	Hypothetical protein of unknown function	71	197	249	308
Pcub-MSU1_003_000705.1	eggnog	MBOAT, membrane-bound O-acyltransferase family	17	83	181	160
Pcub-MSU1_003_000198.1	eggnog	MBOAT, membrane-bound O-acyltransferase family	44	136	300	265
Pcub-MSU1_003_000704.1	eggnog	Maf-like protein	21	33	37	57
Pcub-MSU1_003_000199.1	eggnog	Calcineurin-like phosphoesterase	0	0	0	0
Pcub-MSU1_003_000200.1	eggnog	Serine carboxypeptidase	0	0	0	0
Pcub-MSU1_003_000201.1	interproscan	PTHR46731 domain-containing protein	14	15	9	34
Pcub-MSU1_003_000202.1	eggnog	Dynein heavy chain and region D6 of dynein motor	10	0	5	18
Pcub-MSU1_003_000703.1	eggnog	domain-containing protein	66	121	231	276
Pcub-MSU1_003_000203.1	eggnog	domain-containing protein	35	72	99	162
Pcub-MSU1_003_000204.1	eggnog	D-Tyr-tRNA(Tyr) deacylase	47	51	94	96
Pcub-MSU1_003_000205.1	eggnog	Mis12 protein	1.697	5.702	8.09	55.939
Pcub-MSU1_003_000702.1	interproscan	PTHR36987 domain-containing protein	67	84	141	196
Pcub-MSU1_003_000701.1	eggnog	Mis12 protein	32.303	31.298	64.91	39.061
Pcub-MSU1_003_000700.1	eggnog	D-Tyr-tRNA(Tyr) deacylase	0	0	0	0
Pcub-MSU1_003_000206.1	eggnog	ATPase family associated with various cellular activities (AAA)	10	14	32	42
Pcub-MSU1_003_000699.1	eggnog	PPIases accelerate the folding of proteins	221	230	615	706
Pcub-MSU1_003_000207.1	eggnog	SNF5 / SMARCB1 / INI1	1	3	6	3
Pcub-MSU1_003_000208.1	eggnog	SNF5 / SMARCB1 / INI1	13	31	32	51
Pcub-MSU1_003_000698.1	eggnog	domain-containing protein	10	64	60	68
Pcub-MSU1_003_000209.1	blastp	Homology to Phytophthora pseudosyringae predicted protein KAG7390956.1	23	62	43	42
Pcub-MSU1_003_000697.1	eggnog	COPI associated protein	122	270	252	345
Pcub-MSU1_003_000696.1	blastp	Homology to Phytophthora ramorum predicted protein KAH7484352.1	18	27	41	76
Pcub-MSU1_003_000210.1	eggnog	positive regulation of microtubule nucleation	128	151	292	631
Pcub-MSU1_003_000211.1	eggnog	Tetratricopeptide repeat	107	237	651	785
Pcub-MSU1_003_000212.1	eggnog	Possible plasma membrane-binding motif in junctophilins, PIP-5-kinases and protein kinases	1	4	2	10
Pcub-MSU1_003_000695.1	eggnog	domain-containing protein	76	39	127	148
Pcub-MSU1_003_000213.1	interproscan	PTHR40849 domain-containing protein	25	24	47	35
Pcub-MSU1_003_000214.1	eggnog	Partial alpha/beta-hydrolase lipase region	11.218	5	11.367	12
Pcub-MSU1_003_000694.1	eggnog	Partial alpha/beta-hydrolase lipase region	1.55	12.997	8.358	4.169
Pcub-MSU1_003_000215.1	eggnog	Tetratricopeptide repeat	43.484	33.879	55.276	203.511
Pcub-MSU1_003_000216.1	blastp	Homology to Phytophthora cactorum predicted protein KAG2788037.1	0	5	22	26
Pcub-MSU1_003_000693.1	eggnog	Tetratricopeptide repeat	35.516	21.121	36.724	117.489
Pcub-MSU1_003_000217.1	eggnog	Partial alpha/beta-hydrolase lipase region	7.45	3.003	2.642	18.831
Pcub-MSU1_003_000692.1	eggnog	Partial alpha/beta-hydrolase lipase region	39.782	40	19.633	20
Pcub-MSU1_003_000218.1	eggnog	Lipopolysaccharide kinase (Kdo/WaaP) family	25	50	80	143
Pcub-MSU1_003_000691.1	unannotated	Hypothetical protein of unknown function	3	1	8	4
Pcub-MSU1_003_000690.1	eggnog	Ras of Complex, Roc, domain of DAPkinase	13	20	9	36
Pcub-MSU1_003_000219.1	unannotated	Hypothetical protein of unknown function	0	0	0	0
Pcub-MSU1_003_000220.1	eggnog	Splits internally a 1,3-beta-glucan molecule and transfers the newly generated reducing end (the donor) to the non- reducing end of another 1,3-beta-glucan molecule (the acceptor) forming a 1,3-beta linkage, resulting in the elongation of 1,3- beta-glucan chains in the cell wall	125	315	669	630
Pcub-MSU1_003_000221.1	eggnog	Splits internally a 1,3-beta-glucan molecule and transfers the newly generated reducing end (the donor) to the non- reducing end of another 1,3-beta-glucan molecule (the acceptor) forming a 1,3-beta linkage, resulting in the elongation of 1,3- beta-glucan chains in the cell wall	1	7	58	60
Pcub-MSU1_003_000689.1	eggnog	DegT/DnrJ/EryC1/StrS aminotransferase family	40	50	71	95
Pcub-MSU1_003_000222.1	unannotated	Hypothetical protein of unknown function	0	0	0	0
Pcub-MSU1_003_000223.1	unannotated	Hypothetical protein of unknown function	6	6	41	45
Pcub-MSU1_003_000688.1	unannotated	Hypothetical protein of unknown function	21	54	100	119
Pcub-MSU1_003_000224.1	eggnog	RNA transport	49	59	144	191
Pcub-MSU1_003_000687.1	eggnog	Found in Skp1 protein family	144	213	336	420
Pcub-MSU1_003_000686.1	eggnog	Calcium-activated chloride channel	0	2	0	2
Pcub-MSU1_003_000225.1	eggnog	Phosphotransferase enzyme family	1	2	0	4
Pcub-MSU1_003_000685.1	eggnog	Nup85 Nucleoporin	56	89	134	197
Pcub-MSU1_003_000684.1	eggnog	Domain found in IF2B/IF5	100	235	456	462
Pcub-MSU1_003_000226.1	eggnog	Aldehyde dehydrogenase family	37	53	50	53
Pcub-MSU1_003_000227.1	blastp	Homology to Phytophthora palmivora predicted protein POM65590.1	28	22	43	67
Pcub-MSU1_003_000683.1	eggnog	MuDR family transposase	7	19	29	45
Pcub-MSU1_003_000228.1	eggnog	RecQ-mediated genome instability protein 2	2	16	8	16
Pcub-MSU1_003_000229.1	blastp	Homology to Peronospora belbahrii predicted protein CAH0482652.1	45	42	102	114
Pcub-MSU1_003_000682.1	eggnog	ubiquitin-protein transferase activity	46	71	124	176
Pcub-MSU1_003_000230.1	eggnog	Binds the poly(A) tail of mRNA	1238	1637	3152	4106
Pcub-MSU1_003_000231.1	eggnog	domain-containing protein	30	63	88	98
Pcub-MSU1_003_000232.1	eggnog	Prephenate dehydratase	186	397	689	1106
Pcub-MSU1_003_000681.1	blastp	Homology to Phytophthora pseudosyringae predicted protein KAG7391000.1	0	1	1	2
Pcub-MSU1_003_000233.1	eggnog	Organic solute transporter Ostalpha	14	13	23	41
Pcub-MSU1_003_000680.1	eggnog	Condensin complex subunit 2	32	45	112	182
Pcub-MSU1_003_000234.1	blastp	Homology to Phytophthora pseudosyringae predicted protein KAG7391000.1	9	29	26	31
Pcub-MSU1_003_000235.1	eggnog	Ankyrin repeat	1	3	4	2
Pcub-MSU1_003_000679.1	blastp	Homology to Phytophthora pseudosyringae predicted protein KAG7391004.1	5	0	15	12
Pcub-MSU1_003_000236.1	eggnog	Uncharacterised protein family UPF0047	40	69	69	114
Pcub-MSU1_003_000678.1	blastp	Homology to Phytophthora cactorum predicted protein KAG2788332.1	3	8	29	23
Pcub-MSU1_003_000237.1	eggnog	Dephospho-CoA kinase	13	20	31	41
Pcub-MSU1_003_000238.1	eggnog	Required for proper homologous chromosome pairing and efficient cross-over and intragenic recombination during meiosis	6	6	8	14
Pcub-MSU1_003_000677.1	eggnog	domain-containing protein	317	954	1510	1528
Pcub-MSU1_003_000676.1	blastp	Homology to Phytophthora pseudosyringae predicted protein KAG7391011.1	43	16	50	106
Pcub-MSU1_003_000675.1	eggnog	YEATS family	16	47	45	29
Pcub-MSU1_003_000239.1	eggnog	domain-containing protein	3	6	12	11
Pcub-MSU1_003_000674.1	unannotated	Hypothetical protein of unknown function	0	0	0	0
Pcub-MSU1_003_000673.1	eggnog	domain-containing protein	12	25	30	47
Pcub-MSU1_003_000672.1	unannotated	Hypothetical protein of unknown function	5	20	36	52
Pcub-MSU1_003_000240.1	eggnog	UAA transporter family	11	15	40	32
Pcub-MSU1_003_000671.1	eggnog	Armadillo/beta-catenin-like repeat	0	9	11	15
Pcub-MSU1_003_000670.1	eggnog	domain-containing protein	35	63	109	106
Pcub-MSU1_003_000241.1	eggnog	domain-containing protein	4	3	10	18
Pcub-MSU1_003_000669.1	eggnog	domain-containing protein	6	2	11	27
Pcub-MSU1_003_000668.1	eggnog	BT1 family	1	11	1	8
Pcub-MSU1_003_000242.1	eggnog	BT1 family	8	6	3	14
Pcub-MSU1_003_000243.1	unannotated	Hypothetical protein of unknown function	4	12	11	5
Pcub-MSU1_003_000667.1	eggnog	domain-containing protein	27	43	124	206
Pcub-MSU1_003_000666.1	eggnog	DNA mismatch repair protein Mlh1 C-terminus	0	14	15	17
Pcub-MSU1_003_000244.1	blastp	Homology to Peronospora farinosa predicted protein CAH0485211.1	1	3	4	15
Pcub-MSU1_003_000665.1	eggnog	domain-containing protein	15	19	98	150
Pcub-MSU1_003_000664.1	eggnog	domain-containing protein	0	0	0	2
Pcub-MSU1_003_000245.1	eggnog	Ribosomal protein S8e	14	33	101	115
Pcub-MSU1_003_000663.1	eggnog	Stage V sporulation protein AD (SpoVAD)	434	483	770	1340
Pcub-MSU1_003_000246.1	eggnog	domain-containing protein	0	0	0	3.516
Pcub-MSU1_003_000662.1	eggnog	A-type (transient outward) potassium channel activity	0	0	0	0
Pcub-MSU1_003_000247.1	eggnog	A-type (transient outward) potassium channel activity	1	8	4	9
Pcub-MSU1_003_000661.1	eggnog	domain-containing protein	0	1	9	8.484
Pcub-MSU1_003_000248.1	eggnog	Prephenate dehydrogenase	527	352	638	1266
Pcub-MSU1_003_000660.1	eggnog	Domain of unknown function (DUF543)	248	355	573	642
Pcub-MSU1_003_000249.1	eggnog	domain-containing protein	8	6	32	38
Pcub-MSU1_003_000659.1	eggnog	dolichyl monophosphate biosynthetic process	26	40	68	63
Pcub-MSU1_003_000250.1	eggnog	Protein of unknown function (DUF445)	42	66	71	99
Pcub-MSU1_003_000658.1	eggnog	domain-containing protein	58	53	119	171
Pcub-MSU1_003_000657.1	eggnog	RNA-binding component of the eukaryotic translation initiation factor 3 (eIF-3) complex, which is involved in protein synthesis of a specialized repertoire of mRNAs and, together with other initiation factors, stimulates binding of mRNA and methionyl-tRNAi to the 40S ribosome	134	198	527	628
Pcub-MSU1_003_000251.1	eggnog	domain-containing protein	2	5	1	10
Pcub-MSU1_003_000252.1	eggnog	Anaphase-promoting complex, cyclosome, subunit 4	7	0	14	23
Pcub-MSU1_003_000656.1	eggnog	Ion channel	0	2	5	7
Pcub-MSU1_003_000655.1	eggnog	Binds to the signal sequence of presecretory protein when they emerge from the ribosomes and transfers them to TRAM (translocating chain-associating membrane protein)	54	51	155	218
Pcub-MSU1_003_000253.1	eggnog	domain-containing protein	25	55	119	110
Pcub-MSU1_003_000654.1	eggnog	DHHC palmitoyltransferase	9	19	28	73
Pcub-MSU1_003_000254.1	eggnog	Ankyrin repeats (many copies)	40	21	87	125
Pcub-MSU1_003_000255.1	eggnog	domain-containing protein	186	142	284	516
Pcub-MSU1_003_000653.1	eggnog	domain-containing protein	71	119	254	241
Pcub-MSU1_003_000256.1	blastp	Homology to Phytophthora pseudosyringae predicted protein KAG7393283.1	3	9	8	12
Pcub-MSU1_003_000652.1	unannotated	Hypothetical protein of unknown function	0	0	2	0
Pcub-MSU1_003_000257.1	eggnog	Cellulase (glycosyl hydrolase family 5)	0	5	1	1
Pcub-MSU1_003_000258.1	eggnog	domain-containing protein	74	33	143	232
Pcub-MSU1_003_000259.1	blastp	Homology to Peronospora belbahrii predicted protein CAH0520902.1	22	60	102	123
Pcub-MSU1_003_000260.1	blastp	Homology to Phytophthora pseudosyringae predicted protein KAG7393267.1	13	43	51	69
Pcub-MSU1_003_000651.1	eggnog	negative regulation of proteasomal protein catabolic process (PSMF1)	77	92	106	162
Pcub-MSU1_003_000650.1	interproscan	PTHR13056 domain-containing protein	20	30	25	45
Pcub-MSU1_003_000649.1	eggnog	domain-containing protein	27	67	86	109
